case_number,date,year,type,country,area,location,activity,sex,age,injury,fatal_(y/n),species,investigator_or_source,pdf,href_formula,original_order
2016.01.28,28-jan-16,2016,unprovoked,usa,hawaii,"hanalei bay, kauai",surfing,m,,lacerations to both hands,n,"reef shark, 5'",khon2. 1/28/2016,2016.01.28-kauai.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.28-kauai.pdf,5898
2016.01.25,25-jan-16,2016,unprovoked,usa,hawaii,"hanalei bay, kauai,",surfing,f,15.0,no injury,n,nan,"the garden island, 2/2/2016",2016.01.25-waldman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.25-waldman.pdf,5897
2016.01.24.b,24-jan-16,2016,unprovoked,usa,texas,off surfside,spearfishing,m,,"bruised ribs & tail bone, speargun broken and wetsuit cut",n,bull sharks x 2,k. love,2016.01.24.b-love.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.24.b-love.pdf,5896
2016.01.24.a,24-jan-16,2016,boat,united arab emirates,fujairah emirate,35 miles off fujairah,fishing,m,,"no injury to occupants, shark leapt into boat",n,mako shark,"gulf news, 1/25/2016",2016.01.24.a-uaeboat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.24.a-uaeboat.pdf,5895
2016.01.23,23-jan-16,2016,unprovoked,usa,hawaii,"wailea beach, maui",paddle boarding,m,48.0,no injury,n,"tiger shark, 14'","grand forks herald, 1/27/2915",2016.01.23-mason.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.23-mason.pdf,5894
2016.01.11.r,not defined,2016,unprovoked,australia,queensland,"happy valley beach, caloundra",surfing,m,,laceration to right foot,n,wobbegong shark,"abc sunshine coast, 1/11/2016",2016.01.11.r-hilder.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.11.r-hilder.pdf,5893
2016.01.05,05-jan-16,2016,unprovoked,australia,queensland,heron island,wading,m,11.0,laceration to right calf,n,blacktip shark,"nine news, 1/5/2016",2016.01.05-davis.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.05-davis.pdf,5892
2016.01.02,02-jan-16,2016,unprovoked,australia,queensland,miall island,spearfishing,m,31.0,lacerations to arms & leg,n,3 m shark,"courier mail, 1/2/2016",2016.01.02-countryman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.02-countryman.pdf,5891
2015.12.26,26-dec-15,2015,boat,south africa,kwazulu-natal,westbrook beach,kayak fishing,m,,"no injury, kayak damaged",n,"white shark, 3 m","traveller24, 12/26/2015",2015.12.26-wardell.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.26-wardell.pdf,5890
2015.12.25,25-dec-15,2015,unprovoked,spain,grand canary island,"arinaga beach, aguimes, gran canaria",swimming,f,38.0,lacerations to left forearm,n,"silky shark, 6.5'","diaro de visos, 12/26/2015",2015.12.25-grandcanary.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.25-grandcanary.pdf,5889
2015.12.22,22-dec-15,2015,unprovoked,usa,hawaii,la'aloa beach park,paddle boarding,m,71.0,"no injury, shark bit board",n,9' shark,"west hawaii today, 12/23/2015",2015.12.22-ford.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.22-ford.pdf,5888
2015.12.21.b,21-dec-15,2015,unprovoked,australia,new south wales,bondi beach,surfing,m,43.0,"no injury, shark leapt on surfboard",n,"bronze whaler shark, 6'","the telegraph, 12/22/;2015",2015.12.21.b-norburn.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.21.b-norburn.pdf,5887
2015.12.21.a,21-dec-15,2015,unprovoked,brazil,pernambuco,fernano de noronha,scuba diving,m,32.0,right hand & part of forearm removed,n,"tiger shark, 1.5 m","fox news, 12/22/2015",2015.12.21.a-brazil.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.21.a-brazil.pdf,5886
2015.12.19,19-dec-15,2015,unprovoked,aruba,nan,boat capsized,sea disaster,m,58.0,fatal,y,nan,"fox news, 12/11/2015",2015.12.19-aruba.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.19-aruba.pdf,5885
2015.12.13,13-dec-15,2015,boat,australia,new south wales,lake macquarie,fishing,,,"no injury, shark rammed boat & bit motor",n,"white shark, 3.5 m","courier mail, 12/15/2015",2015.12.13-crust-boat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.13-crust-boat.pdf,5884
2015.12.11,11-dec-15,2015,unprovoked,bahamas,nan,off andros island,lobster fishing,m,26.0,"bitten on thigh, abdomen & hand",n,bull shark,"nassau guardian, 12/12/2015",2015.12.11-pinder.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.11-pinder.pdf,5883
2015.12.08,08-dec-15,2015,unprovoked,south africa,eastern cape province,mpande,swimming / wading,f,22.0,lacerations to both hands and forearms,n,nan,"the bulletin, 12/17/2015",2015.12.08-scott.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.08-scott.pdf,5882
2015.11.16,16-nov-15,2015,unprovoked,usa,florida,"playalinda beach, brevard county",surfing,m,,right heel injured,n,nan,wftv. 11/17/2015,2015.11.16-conti.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.16-conti.pdf,5880
2015.11.15.b,15-nov-15,2015,unprovoked,usa,florida,"palm beach, palm beach county",swimming,f,,leg injured,n,nan,"palm beach post, 11/16/2015",2015.11.15.b-palmbeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.15.b-palmbeach.pdf,5879
2015.11.15.a,15-nov-15,2015,unprovoked,usa,florida,"ocean reef park, singer island, palm beach county",surfing,m,28.0,lacerations to hand,n,"spinner shark, 7'","5wptv, 11/15/2015",2015.11.15.a-engelman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.15.a-engelman.pdf,5878
2015.11.10,10-nov-15,2015,unprovoked,australia,new south wales,east ballina,surfing,m,20.0,injury to left thigh,n,"bull shark, 2.8 to 3.1 m","the sydney morning herald, 11/11/2015",2015.11.10-morgan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.10-morgan.pdf,5877
2015.12.23,07-nov-15,2015,invalid,usa,florida,"paradise beach, melbourne, brevard county",surfing,f,9.0,lower left leg injured,n,shark involvement not confirmed,"fox25orlando, 11/7/2015",2015.11.07-underwood.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.07-underwood.pdf,5876
2015.11.03,03-nov-15,2015,unprovoked,usa,hawaii,"kehena beach, hawaii",swimming,m,54.0,laceration to right ankle,n,nan,"hawaii news now, 11/4/2015",2015.11.03-o'leary.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.03-o'leary.pdf,5875
2015.11.01.b,01-nov-15,2015,unprovoked,usa,florida,"cocoa beach, brevard  county",wading,f,28.0,injury to right ankle/calf & hand,n,3' to 5' shark,"usa today, 11/1/2015",2015.11.01.b-kruse.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.01.b-kruse.pdf,5874
2015.11.01.a,01-nov-15,2015,unprovoked,mozambique,inhambane province,maxixe,fishing,m,19.0,"arms severely injured, surgically amputated",n,nan,"coastweek, 12/3/2015",2015.11.01.a-ernesto.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.01.a-ernesto.pdf,5873
2015.10.30,30-oct-15,2015,unprovoked,australia,western australia,bald island,spearfishing,m,50.0,minor injury,n,nan,"perth now, 10/30/2015",2015.10.30-galli.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.30-galli.pdf,5872
2015.10.28.a,28-oct-15,2015,unprovoked,usa,hawaii,"malaka, oahu",body boarding,m,10.0,"lacerations & puncture wounds to right thigh, calf & ankle",n,nan,"star advertiser, 10/28/2015",2015.10.28-senensi.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.28-senensi.pdf,5871
2015.10.25,25-oct-15,2015,unprovoked,south africa,western cape province,stil bay,surfing,m,42.0,"lacerations to right calf, knee & hip",n,"white shark, 3 to 3.5m","news 24, 10/26/2015",2015.10.25-anderson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.25-anderson.pdf,5870
2015.10.21,21-oct-15,2015,unprovoked,usa,florida,"playalinda beach, brevard county",surfing,m,21.0,lacerations to left hand,n,5' shark,"clickorlando.com, 10/21/2015",2015.10.21-playalinda.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.21-playalinda.pdf,5869
2015.10.19,19-oct-15,2015,unprovoked,usa,florida,"deerfield beach, broward county",surfing,m,21.0,left foot bitten,n,"spinner shark, 5'","nbc6.com, 10/19/2015",2015.10.19-kirn.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.19-kirn.pdf,5868
2015.10.17.c,17-oct-15,2015,unprovoked,mozambique,inhambane province,"nahaduga, inhambane bay",fishing for shrimp,f,35.0,fatal,y,nan,xinhua news agency,2015.10.17.c-cavel.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.17.c-cavel.pdf,5867
2015.10.17.b,17-oct-15,2015,invalid,usa,hawaii,"waikiki,",surfing,m,32.0,left foot bitten by eel,n,no shark involvement,"khon2, 10/17/2015",2015.10.17.b.-hawaii. pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.17.b.-hawaii. pdf,5866
2015.10.17.a,17-oct-15,2015,unprovoked,usa,hawaii,"lanikai beach, kailua, oahu",swimming,m,44.0,injuries to lower legs,n,"tiger shark, 7'","khon2, 10/17/2015",2015.10.17.a-lee.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.17.a-lee.pdf,5865
2015.10.13,13-oct-15,2015,boat,usa,california,"off leffingwell landing, san luis obispo county",kayak fishing,m,,"no injury, shark rammed kayak repeatedly",n,hammerhead sp.,"the tribune, 10/28/2015",2015.10.13-pavacich-kayak.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.13-pavacich-kayak.pdf,5864
2015.10.09.b,09-oct-15,2015,unprovoked,usa,south carolina,"shipyard beach club, hilton head island, beaufort county",boogie boarding,f,9.0,laceration to forearm,n,nan,"c. creswell, gsaf",2015.10.09.b-kershner.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.09.b-kershner.pdf,5863
2015.10.09.a,09-oct-15,2015,unprovoked,usa,hawaii,"leftovers, oahu",surfing,m,25.0,"left leg severed below the knee, defense injuries to left hand",n,"tiger shark, 13'","hawaii news now, 10/9/2015",2015.10.09.a-cook.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.09.a-cook.pdf,5862
2015.10.08,08-oct-15,2015,unprovoked,mozambique,inhambane province,"maxixe, inhambane bay",fishing,m,,"arm severely injured, surgically amputated",n,nan,club of mozambique,2015.10.08-rafael.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.08-rafael.pdf,5861
2015.10.07,07-oct-15,2015,unprovoked,australia,western australia,pyramids beach,surfing,m,18.0,foot injured,n,nan,"daily mail, 10/7/2015",2015.10.07-zawadzki.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.07-zawadzki.pdf,5860
2015.10.05.b,05-oct-15,2015,unprovoked,usa,florida,"pepper park beach, st. lucie county",body boarding,m,22.0,2 lacerations to ankle,n,nan,"wpbf.com, 10/6/2015",2015.10.05.b-ftpierce.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.05.b-ftpierce.pdf,5859
2015.10.05.a,05-oct-15,2015,unprovoked,usa,texas,galveston,wading,m,13.0,foot & hands bitten,n,4' to 5' shark,"houston chronicle, 10/5/2015",2015.10.05.a-slaughter.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.05.a-slaughter.pdf,5858
2015.10.04,04-oct-15,2015,unprovoked,usa,florida,"new smyrna beach, volusia county",surfing,m,14.0,severe lacerations to left hand,n,"blacktip shark, 4' to 5'","cnn, 10/4/2015",2015.10.04-tarasovic.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.04-tarasovic.pdf,5857
2015.09.29,29-sep-15,2015,unprovoked,usa,florida,"vilano beach, st.  johns county",surfing,m,22.0,"laceration to heel, puncture wounds to dorsum of foot",n,"blacktip shark, 5' to 6'","first coast news, 9/30/2015",2015.09.29-morrison.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.29-morrison.pdf,5856
2015.09.26,26-sep-15,2015,unprovoked,australia,queensland,"russel island, frankland group",snorkeling,f,7.0,laceration to leg,n,nan,"the cairns post, 9/28/2015",2015.09.26-qld.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.26-qld.pdf,5855
2015.09.24,24-sep-15,2015,unprovoked,usa,california,"horseshoe rock, santa barbara county",kayak fishing,m,,"no injury, kayak damaged",n,"white shark, 19'",r. collier,2015.09.24-kenney.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.24-kenney.pdf,5854
2015.09.20.d,20-sep-15,2015,unprovoked,usa,florida,"new smyrna beach, volusia county",surfing,m,14.0,minor injury to left ankle,n,juvenile shark,"orlando sentinel, 9/20/2015",2015.09.20.d-nsb.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.20.d-nsb.pdf,5853
2015.09.20.c,20-sep-15,2015,unprovoked,usa,hawaii,"upolu point, north kohala, big island",spearfishing,m,27.0,severe laceration to left leg,n,"tiger shark, 13'","big island video, 9/20/2015",2015.09.20.c-braxton.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.20.c-braxton.pdf,5852
2015.09.20.b,20-sep-15,2015,unprovoked,usa,florida,"fernandina beach, amelia island, nassau county",wading,m,12.0,significant injuries to leg,n,4' shark,"news4jax, 9/21/2015",2015.09.20.b-bitner.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.20.b-bitner.pdf,5851
2015.09.20.a,20-sep-15,2015,unprovoked,usa,florida,"vilano beach, st.  johns county",photographing fish,m,16.0,injury to right hand / wrist,n,nan,"news4jax, 9/21/2015",2015.09.20.a-schiavo.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.20.a-schiavo.pdf,5850
2015.09.18,18-sep-15,2015,unprovoked,usa,florida,"big talbot island, duval county",swimming,m,,lacerations to calf,n,nan,"action news jax, 9/23/2015",2015.09.18-vergenz.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.18-vergenz.pdf,5849
2015.09.17,17-sep-15,2015,unprovoked,usa,florida,"jacksonville beach, duval county",surfing,m,20.0,injury to right foot,n,nan,"news4jax, 9/15/2015",2015.09.17-liebetrau.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.17-liebetrau.pdf,5848
2015.09.08,08-sep-15,2015,unprovoked,australia,new south wales,north shelly beach,surfing,m,42.0,minor laceration to hand,n,6' shark,"abc news, 9/8/2015",2015.09.08-daniels.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.08-daniels.pdf,5847
2015.09.06,06-sep-15,2015,unprovoked,usa,california,"el pescador beach, los angeles county",stand-up paddleboarding,f,50.0,"no injury, shark struck board, tossing her into the sea",n,"white shark, 11' to 12'","r. collier, gsaf",2015.09.06-gennaro.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.06-gennaro.pdf,5846
2015.09.05,05-sep-15,2015,provoked,usa,california,"deer creek beach, ventura county",kayak fishing,m,29.0,laceration to dorsum of foot by hooked shark  provoked incident,n,hammerhead shark.,"r. collier, gsaf",2015.09.05-marks.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.05-marks.pdf,5845
2015.09.04,04-sep-15,2015,unprovoked,australia,new south wales,hallidays point,surf-skiing,m,62.0,inuries to lower left leg & ankle,n,"white shark, 2.5 m","the sydney morning herald, 9/4/2015",2015.09.04-quinliven.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.04-quinliven.pdf,5844
2015.09.03,03-sep-15,2015,unprovoked,usa,south carolina,"myrtle beach, horry county",nan,m,,right foot bitten,n,4' shark?,"c. creswell, gsaf",2015.09.03-wagner.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.03-wagner.pdf,5843
2015.09.01,01-sep-15,2015,unprovoked,thailand,phuket,karon beach,wading,f,37.0,left foot & ankle bitten,n,small shark,"phuket gazette, 9/1/2015",2015.09.01-neame.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.01-neame.pdf,5842
2015.09.00,not defined,2015,unprovoked,fiji,nan,nan,spearfishing,m,,leg bitten,n,tiger shark,"fiji times, 2/8/2016",2015.09.00-lautiki.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.00-lautiki.pdf,5841
2015.08.29.b,29-aug-15,2015,unprovoked,usa,california,"morro strand state beach, san luis obispo county",surfing,f,54.0,"no injury, surfboard bitten",n,"white shark, 11' to 12'","r. collier, gsaf",2015.08.29.b-dempsey.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.29.b-dempsey.pdf,5840
2015.08.29.a,29-aug-15,2015,unprovoked,usa,california,"morro bay, san luis obispo county",surfing,m,21.0,"no injury, shark struk sufer's leg and his board",n,"white shark, 10' to 12'","r. collier, gsaf",2015.08.29.a-phillips.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.29.a-phillips.pdf,5839
2015.08.22.b,22-aug-15,2015,invalid,usa,florida,"cocoa beach, brevard  county",nan,m,,wound to right lower leg,n,shark involvement not confirmed,"brevard times, 8/22/2015",2015.08.22.b-cocoabeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.22.b-cocoabeach.pdf,5838
2015.08.22.a,22-aug-15,2015,unprovoked,australia,new south wales,lighthouse beach,surfing,m,38.0,severe laceration to left buttock & thigh,n,nan,"daily telegraph, 8/22/2015",2015.08.22.a-carr.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.22.a-carr.pdf,5837
2015.08.20,20-aug-15,2015,unprovoked,usa,south carolina,"murrells inlet, georgetown county",surfing,m,15.0,"injuries to left calf, arm and hand",n,4' shark,"c. creswell, gsaf",2015.08.20-peyton.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.20-peyton.pdf,5836
2015.08.19,19-aug-15,2015,unprovoked,usa,florida,"jacksonville beach, duval county",walking,f,10.0,lacerations to right leg,n,3' shark,"abc news, 8/21/2015",2015.08.19-szsarmack,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.19-szsarmack,5835
2015.08.18.b,18-aug-15,2015,unprovoked,usa,california,santa barbara county,kayak fishing,m,22.0,"no injury, kayak bitten",n,"white shark, 13'","r. collier, gsaf",2015.08.18.b-lyon.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.18.b-lyon.pdf,5834
2015.08.18.a,18-aug-15,2015,invalid,spain,alicante,"poniente beach, benidorm",swimming,m,10.0,minor injury when he attempted to touch a fish.,n,shark involvement not confirmed,"the local, 8/18/2015",2015.08.18.a-benidorm.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.18.a-benidorm.pdf,5833
2015.08.10,10-aug-15,2015,provoked,usa,california,cortes bank,spearfishing,m,57.0,right hand bitten  provoked incident,n,hammerhead shark. 6' to 7',"nbc san diego, 8/13/2015",2015.08.10-shafer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.10-shafer.pdf,5832
2015.07.31,31-jul-15,2015,unprovoked,australia,new south wales,evans head,surfing,m,52.0,"lacerations and puncture wounds to hip, thigh, arm and hand",n,white shark,"daily telegraph, 7/31/2015",2015.07.31-ison.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.31-ison.pdf,5831
2015.07.26.b,26-jul-15,2015,unprovoked,usa,florida,"daytona beach, volusia county",surfing,m,25.0,minor injury to sole of foot,n,"blacktip or spinner shark, 4'",cbs 7/27/2015,2015.07.26.b-warrilow.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.26.b-warrilow.pdf,5830
2015.07.26.a,26-jul-15,2015,invalid,usa,south carolina,"edisto beach, colleton county",floating,f,35.0,"2' cut to dorsum of foot, 2 puncture wounds to sole",n,"thought to involve a 3' to 4' shark, but shark involvement not confirmed","c. creswell, gsaf, abc 11, 7/27/2015",2015.07.26.a-edisto.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.26.a-edisto.pdf,5829
